,redpoint_-3,redpoint_-2,redpoint_-1,redpoint_0,redpoint_1,redpoint_2,redpoint_3,pred,ends,red,yellow,red_diff,remain_ends,last_stone_is_red,red_postion,filepath,page,T
45,0,0,0,0,1,0,0,1,6,1.0,0.0,1.0,3,True,0.0,./dataset_o\OWG2022_ResultsBook\geme276end6.png,276,OWG2022_ResultsBook
46,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,8,True,0.0,./dataset_o\ECC2022_ResultsBook_Men_A-Division\geme351end1.png,351,ECC2022_ResultsBook_Men_A-Division
47,0,1,0,0,0,0,0,-2,2,0.0,2.0,-2.0,7,False,2.0,./dataset_o\ECC2019_ResultsBook_Women_A-Division\geme369end2.png,369,ECC2019_ResultsBook_Women_A-Division
48,0,0,0,0,1,0,0,1,11,1.0,0.0,1.0,0,True,0.0,./dataset_o\WWCC2022_ResultsBook\geme521end11.png,521,WWCC2022_ResultsBook
49,1,0,0,0,0,0,0,-3,9,0.0,3.0,-3.0,0,True,-4.0,./dataset_o\WWCC2023_ResultsBook\geme610end9.png,610,WWCC2023_ResultsBook
50,1,0,0,0,0,0,0,-3,4,0.0,3.0,-3.0,5,False,0.0,./dataset_o\OWG2022_ResultsBook\geme875end4.png,875,OWG2022_ResultsBook
51,0,0,0,0,0,0,1,3,4,3.0,0.0,3.0,5,True,0.0,./dataset_o\WWCC2023_ResultsBook\geme199end4.png,199,WWCC2023_ResultsBook
52,0,0,1,0,0,0,0,-1,6,0.0,1.0,-1.0,3,False,2.0,./dataset_o\ECC2021_ResultsBook_Women_A-Division\geme371end6.png,371,ECC2021_ResultsBook_Women_A-Division
53,0,0,0,0,0,1,0,2,5,2.0,0.0,2.0,4,False,1.0,./dataset_o\WMCC2018_ResultsBook\geme479end5.png,479,WMCC2018_ResultsBook
54,0,0,0,0,0,1,0,2,7,2.0,0.0,2.0,2,False,-1.0,./dataset_o\WWCC2018_ResultsBook\geme461end7.png,461,WWCC2018_ResultsBook
55,0,0,0,1,0,0,0,0,6,0.0,0.0,0.0,3,True,0.0,./dataset_o\OWG2022_ResultsBook\geme540end6.png,540,OWG2022_ResultsBook
56,0,0,0,0,0,1,0,2,6,2.0,0.0,2.0,3,True,-4.0,./dataset_o\WMCC2023_ResultsBook\geme674end6.png,674,WMCC2023_ResultsBook
57,0,0,0,0,0,1,0,2,8,2.0,0.0,2.0,1,True,-3.0,./dataset_o\PCCC2022_ResultsBook_Men_A-Division\geme288end8.png,288,PCCC2022_ResultsBook_Men_A-Division
58,0,0,1,0,0,0,0,-1,1,0.0,1.0,-1.0,8,True,0.0,./dataset_o\PCCC2023_ResultsBook_Men_A-Division\geme207end1.png,207,PCCC2023_ResultsBook_Men_A-Division
59,0,0,1,0,0,0,0,-1,9,0.0,1.0,-1.0,0,False,-2.0,./dataset_o\WWCC2018_ResultsBook\geme495end9.png,495,WWCC2018_ResultsBook
60,0,0,1,0,0,0,0,-1,9,0.0,1.0,-1.0,0,False,1.0,./dataset_o\WMCC2018_ResultsBook\geme737end9.png,737,WMCC2018_ResultsBook
61,0,0,0,0,0,1,0,2,7,2.0,0.0,2.0,2,True,2.0,./dataset_o\ECC2019_ResultsBook_Men_A-Division\geme499end7.png,499,ECC2019_ResultsBook_Men_A-Division
62,0,0,1,0,0,0,0,-1,3,0.0,1.0,-1.0,6,False,2.0,./dataset_o\CWC2018-19_Leg3_ResultsBook\geme397end3.png,397,CWC2018-19_Leg3_ResultsBook
63,0,0,0,0,1,0,0,1,9,1.0,0.0,1.0,0,False,1.0,./dataset_o\ECC2017_ResultsBook_Men_A-Division\geme305end9.png,305,ECC2017_ResultsBook_Men_A-Division
64,0,0,0,0,1,0,0,1,8,1.0,0.0,1.0,1,True,-2.0,./dataset_o\ECC2022_ResultsBook_Women_A-Division\geme209end8.png,209,ECC2022_ResultsBook_Women_A-Division
65,0,0,0,1,0,0,0,0,6,0.0,0.0,0.0,3,False,-6.0,./dataset_o\WMCC2023_ResultsBook\geme396end6.png,396,WMCC2023_ResultsBook
66,0,0,0,0,0,1,0,2,1,2.0,0.0,2.0,8,True,0.0,./dataset_o\ECC2022_ResultsBook_Men_A-Division\geme238end1.png,238,ECC2022_ResultsBook_Men_A-Division
67,0,0,0,0,1,0,0,1,11,1.0,0.0,1.0,0,False,0.0,./dataset_o\WWCC2018_ResultsBook\geme495end11.png,495,WWCC2018_ResultsBook
68,1,0,0,0,0,0,0,-3,6,0.0,3.0,-3.0,3,False,0.0,./dataset_o\OWG2018_ResultsBook\geme313end6.png,313,OWG2018_ResultsBook
69,0,0,0,0,0,0,1,3,9,3.0,0.0,3.0,0,True,-3.0,./dataset_o\ECC2018_ResultsBook_Women_A-Division\geme411end9.png,411,ECC2018_ResultsBook_Women_A-Division
70,0,1,0,0,0,0,0,-2,7,0.0,2.0,-2.0,2,False,0.0,./dataset_o\PCCC2022_ResultsBook_Women_A-Division\geme24end7.png,24,PCCC2022_ResultsBook_Women_A-Division
71,0,0,0,0,0,1,0,2,6,2.0,0.0,2.0,3,True,0.0,./dataset_o\WMCC2018_ResultsBook\geme333end6.png,333,WMCC2018_ResultsBook
72,0,0,0,1,0,0,0,0,2,0.0,0.0,0.0,7,True,0.0,./dataset_o\WWCC2022_ResultsBook\geme798end2.png,798,WWCC2022_ResultsBook
73,0,0,0,0,0,0,1,3,3,4.0,0.0,4.0,6,True,-4.0,./dataset_o\WWCC2019_ResultsBook\geme280end3.png,280,WWCC2019_ResultsBook
74,0,1,0,0,0,0,0,-2,7,0.0,2.0,-2.0,2,False,1.0,./dataset_o\WWCC2019_ResultsBook\geme257end7.png,257,WWCC2019_ResultsBook
75,1,0,0,0,0,0,0,-3,2,0.0,3.0,-3.0,7,False,1.0,./dataset_o\CWC2018-19_Leg3_ResultsBook\geme186end2.png,186,CWC2018-19_Leg3_ResultsBook
76,0,0,0,0,1,0,0,1,4,1.0,0.0,1.0,5,False,4.0,./dataset_o\WMCC2022_ResultsBook\geme221end4.png,221,WMCC2022_ResultsBook
77,0,0,0,1,0,0,0,0,5,0.0,0.0,0.0,4,False,0.0,./dataset_o\PACC2018_ResultsBook_Men\geme264end5.png,264,PACC2018_ResultsBook_Men
78,0,0,0,0,1,0,0,1,7,1.0,0.0,1.0,2,True,-1.0,./dataset_o\CWC2018-19_Leg3_ResultsBook\geme204end7.png,204,CWC2018-19_Leg3_ResultsBook
79,0,0,0,0,1,0,0,1,1,1.0,0.0,1.0,8,False,0.0,./dataset_o\ECC2019_ResultsBook_Men_A-Division\geme416end1.png,416,ECC2019_ResultsBook_Men_A-Division
80,0,0,0,0,0,1,0,2,7,2.0,0.0,2.0,2,True,-6.0,./dataset_o\OWG2022_ResultsBook\geme767end7.png,767,OWG2022_ResultsBook
81,0,0,0,0,0,1,0,2,7,2.0,0.0,2.0,2,True,0.0,./dataset_o\ECC2021_ResultsBook_Men_A-Division\geme187end7.png,187,ECC2021_ResultsBook_Men_A-Division
82,0,0,0,0,1,0,0,1,6,1.0,0.0,1.0,3,True,1.0,./dataset_o\OWG2022_ResultsBook\geme754end6.png,754,OWG2022_ResultsBook
83,0,0,0,0,1,0,0,1,10,1.0,0.0,1.0,0,False,0.0,./dataset_o\WWCC2022_ResultsBook\geme633end10.png,633,WWCC2022_ResultsBook
84,0,0,0,0,1,0,0,1,8,1.0,0.0,1.0,1,True,0.0,./dataset_o\WWCC2018_ResultsBook\geme360end8.png,360,WWCC2018_ResultsBook
85,0,0,0,0,0,0,1,3,7,3.0,0.0,3.0,2,True,1.0,./dataset_o\WMCC2023_ResultsBook\geme805end7.png,805,WMCC2023_ResultsBook
86,0,0,0,0,0,1,0,2,5,2.0,0.0,2.0,4,True,-2.0,./dataset_o\WWCC2022_ResultsBook\geme212end5.png,212,WWCC2022_ResultsBook
87,0,0,1,0,0,0,0,-1,1,0.0,1.0,-1.0,8,False,0.0,./dataset_o\ECC2022_ResultsBook_Women_A-Division\geme360end1.png,360,ECC2022_ResultsBook_Women_A-Division
88,0,1,0,0,0,0,0,-2,6,0.0,2.0,-2.0,3,False,0.0,./dataset_o\ECC2017_ResultsBook_Men_A-Division\geme135end6.png,135,ECC2017_ResultsBook_Men_A-Division
89,0,0,0,0,0,1,0,2,8,2.0,0.0,2.0,1,True,-2.0,./dataset_o\WMCC2023_ResultsBook\geme248end8.png,248,WMCC2023_ResultsBook
90,0,0,0,0,0,0,1,3,3,3.0,0.0,3.0,6,True,-3.0,./dataset_o\WMCC2022_ResultsBook\geme651end3.png,651,WMCC2022_ResultsBook
91,0,0,0,0,1,0,0,1,3,1.0,0.0,1.0,6,True,-2.0,./dataset_o\WMCC2023_ResultsBook\geme300end3.png,300,WMCC2023_ResultsBook
92,0,0,0,0,1,0,0,1,7,1.0,0.0,1.0,2,True,-1.0,./dataset_o\WMCC2021_ResultsBook\geme656end7.png,656,WMCC2021_ResultsBook
93,1,0,0,0,0,0,0,-3,3,0.0,3.0,-3.0,6,False,1.0,./dataset_o\OWG2022_ResultsBook\geme1091end3.png,1091,OWG2022_ResultsBook
94,0,0,0,1,0,0,0,0,4,0.0,0.0,0.0,5,False,-1.0,./dataset_o\WMCC2022_ResultsBook\geme608end4.png,608,WMCC2022_ResultsBook
95,0,0,0,0,1,0,0,1,2,1.0,0.0,1.0,7,True,-1.0,./dataset_o\OWG2018_ResultsBook\geme271end2.png,271,OWG2018_ResultsBook
96,0,1,0,0,0,0,0,-2,9,0.0,2.0,-2.0,0,False,-1.0,./dataset_o\WMCC2021_ResultsBook\geme798end9.png,798,WMCC2021_ResultsBook
97,0,0,0,0,1,0,0,1,2,1.0,0.0,1.0,7,True,-2.0,./dataset_o\OWG2022_ResultsBook\geme931end2.png,931,OWG2022_ResultsBook
98,0,0,0,1,0,0,0,0,2,0.0,0.0,0.0,7,False,0.0,./dataset_o\WWCC2022_ResultsBook\geme160end2.png,160,WWCC2022_ResultsBook
99,0,0,0,0,0,0,1,3,1,3.0,0.0,3.0,8,True,0.0,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme254end1.png,254,CWC2018-19_Leg1_ResultsBook
100,0,1,0,0,0,0,0,-2,7,0.0,2.0,-2.0,2,False,1.0,./dataset_o\WMCC2018_ResultsBook\geme719end7.png,719,WMCC2018_ResultsBook
101,0,0,1,0,0,0,0,-1,4,0.0,1.0,-1.0,5,False,0.0,./dataset_o\OWG2022_ResultsBook\geme671end4.png,671,OWG2022_ResultsBook
102,0,1,0,0,0,0,0,-2,1,0.0,2.0,-2.0,8,False,0.0,./dataset_o\OWG2018_ResultsBook\geme1170end1.png,1170,OWG2018_ResultsBook
103,1,0,0,0,0,0,0,-3,3,0.0,5.0,-5.0,6,False,0.0,./dataset_o\OWG2018_ResultsBook\geme1055end3.png,1055,OWG2018_ResultsBook
104,0,0,1,0,0,0,0,-1,8,0.0,1.0,-1.0,1,False,-3.0,./dataset_o\ECC2021_ResultsBook_Men_A-Division\geme140end8.png,140,ECC2021_ResultsBook_Men_A-Division
105,0,1,0,0,0,0,0,-2,9,0.0,2.0,-2.0,0,False,-3.0,./dataset_o\WWCC2023_ResultsBook\geme368end9.png,368,WWCC2023_ResultsBook
106,0,0,0,0,1,0,0,1,8,1.0,0.0,1.0,1,True,1.0,./dataset_o\WMCC2022_ResultsBook\geme200end8.png,200,WMCC2022_ResultsBook
107,0,0,0,1,0,0,0,0,7,0.0,0.0,0.0,2,False,1.0,./dataset_o\ECC2022_ResultsBook_Women_A-Division\geme422end7.png,422,ECC2022_ResultsBook_Women_A-Division
108,0,0,0,1,0,0,0,0,2,0.0,0.0,0.0,7,False,2.0,./dataset_o\ECC2021_ResultsBook_Women_A-Division\geme502end2.png,502,ECC2021_ResultsBook_Women_A-Division
109,0,0,0,0,0,1,0,2,9,2.0,0.0,2.0,0,False,4.0,./dataset_o\OQE2021_ResultsBook_Men\geme80end9.png,80,OQE2021_ResultsBook_Men
110,0,0,0,0,1,0,0,1,2,1.0,0.0,1.0,7,True,-3.0,./dataset_o\WWCC2023_ResultsBook\geme787end2.png,787,WWCC2023_ResultsBook
111,0,0,0,0,0,1,0,2,5,2.0,0.0,2.0,4,True,-2.0,./dataset_o\CWC2018-19_Leg3_ResultsBook\geme214end5.png,214,CWC2018-19_Leg3_ResultsBook
112,0,0,0,0,0,0,1,3,4,3.0,0.0,3.0,5,False,5.0,./dataset_o\PCCC2022_ResultsBook_Men_A-Division\geme168end4.png,168,PCCC2022_ResultsBook_Men_A-Division
113,0,0,0,0,1,0,0,1,9,1.0,0.0,1.0,0,True,4.0,./dataset_o\OWG2018_ResultsBook\geme21end9.png,21,OWG2018_ResultsBook
114,0,0,0,0,0,1,0,2,1,2.0,0.0,2.0,8,True,0.0,./dataset_o\WWCC2019_ResultsBook\geme313end1.png,313,WWCC2019_ResultsBook
115,0,0,0,0,1,0,0,1,8,1.0,0.0,1.0,1,True,1.0,./dataset_o\WWCC2019_ResultsBook\geme313end8.png,313,WWCC2019_ResultsBook
116,0,0,1,0,0,0,0,-1,10,0.0,1.0,-1.0,0,False,1.0,./dataset_o\ECC2023_ResultsBook_Men_A-Division\geme6end10.png,6,ECC2023_ResultsBook_Men_A-Division
117,0,0,0,0,1,0,0,1,7,1.0,0.0,1.0,2,True,-4.0,./dataset_o\ECC2017_ResultsBook_Men_A-Division\geme372end7.png,372,ECC2017_ResultsBook_Men_A-Division
118,0,0,0,0,0,0,1,3,3,3.0,0.0,3.0,6,True,-2.0,./dataset_o\PACC2018_ResultsBook_Men\geme165end3.png,165,PACC2018_ResultsBook_Men
119,0,0,0,1,0,0,0,0,9,0.0,0.0,0.0,0,False,3.0,./dataset_o\WMCC2018_ResultsBook\geme292end9.png,292,WMCC2018_ResultsBook
120,0,0,1,0,0,0,0,-1,3,0.0,1.0,-1.0,6,True,0.0,./dataset_o\ECC2022_ResultsBook_Men_A-Division\geme411end3.png,411,ECC2022_ResultsBook_Men_A-Division
121,0,1,0,0,0,0,0,-2,5,0.0,2.0,-2.0,4,True,-2.0,./dataset_o\OWG2018_ResultsBook\geme490end5.png,490,OWG2018_ResultsBook
122,0,0,0,0,0,1,0,2,8,2.0,0.0,2.0,1,False,3.0,./dataset_o\WMCC2022_ResultsBook\geme313end8.png,313,WMCC2022_ResultsBook
123,0,0,0,0,1,0,0,1,9,1.0,0.0,1.0,0,True,-1.0,./dataset_o\ECC2017_ResultsBook_Women_A-Division\geme363end9.png,363,ECC2017_ResultsBook_Women_A-Division
124,0,1,0,0,0,0,0,-2,6,0.0,2.0,-2.0,3,False,2.0,./dataset_o\WWCC2018_ResultsBook\geme251end6.png,251,WWCC2018_ResultsBook
125,0,0,0,0,0,0,1,3,6,3.0,0.0,3.0,3,True,-3.0,./dataset_o\ECC2022_ResultsBook_Women_A-Division\geme222end6.png,222,ECC2022_ResultsBook_Women_A-Division
126,0,0,0,0,0,1,0,2,8,2.0,0.0,2.0,1,True,0.0,./dataset_o\PACC2018_ResultsBook_Men\geme94end8.png,94,PACC2018_ResultsBook_Men
127,1,0,0,0,0,0,0,-3,5,0.0,4.0,-4.0,4,False,-3.0,./dataset_o\WMCC2021_ResultsBook\geme559end5.png,559,WMCC2021_ResultsBook
128,0,1,0,0,0,0,0,-2,8,0.0,2.0,-2.0,1,False,-1.0,./dataset_o\WMCC2018_ResultsBook\geme793end8.png,793,WMCC2018_ResultsBook
129,0,0,0,0,1,0,0,1,6,1.0,0.0,1.0,3,True,-1.0,./dataset_o\ECC2023_ResultsBook_Women_A-Division\geme399end6.png,399,ECC2023_ResultsBook_Women_A-Division
130,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,8,True,0.0,./dataset_o\ECC2023_ResultsBook_Women_A-Division\geme358end1.png,358,ECC2023_ResultsBook_Women_A-Division
131,0,1,0,0,0,0,0,-2,6,0.0,2.0,-2.0,3,False,0.0,./dataset_o\PCCC2023_ResultsBook_Men_A-Division\geme140end6.png,140,PCCC2023_ResultsBook_Men_A-Division
132,0,0,0,0,1,0,0,1,9,1.0,0.0,1.0,0,False,1.0,./dataset_o\ECC2018_ResultsBook_Women_A-Division\geme434end9.png,434,ECC2018_ResultsBook_Women_A-Division
133,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,8,True,0.0,./dataset_o\OWG2022_ResultsBook\geme540end1.png,540,OWG2022_ResultsBook
134,0,0,0,0,1,0,0,1,3,1.0,0.0,1.0,6,True,2.0,./dataset_o\PCCC2022_ResultsBook_Women_A-Division\geme203end3.png,203,PCCC2022_ResultsBook_Women_A-Division
135,1,0,0,0,0,0,0,-3,7,0.0,4.0,-4.0,2,False,-1.0,./dataset_o\WMCC2018_ResultsBook\geme470end7.png,470,WMCC2018_ResultsBook
136,0,0,0,0,1,0,0,1,2,1.0,0.0,1.0,7,True,-2.0,./dataset_o\OWG2022_ResultsBook\geme1079end2.png,1079,OWG2022_ResultsBook
137,0,1,0,0,0,0,0,-2,3,0.0,2.0,-2.0,6,False,2.0,./dataset_o\ECC2019_ResultsBook_Women_A-Division\geme318end3.png,318,ECC2019_ResultsBook_Women_A-Division
138,0,0,0,0,0,1,0,2,8,2.0,0.0,2.0,1,False,4.0,./dataset_o\ECC2022_ResultsBook_Men_A-Division\geme86end8.png,86,ECC2022_ResultsBook_Men_A-Division
139,0,0,0,0,1,0,0,1,8,1.0,0.0,1.0,1,True,0.0,./dataset_o\ECC2017_ResultsBook_Men_A-Division\geme305end8.png,305,ECC2017_ResultsBook_Men_A-Division
140,0,0,1,0,0,0,0,-1,10,0.0,1.0,-1.0,0,True,-3.0,./dataset_o\WMCC2023_ResultsBook\geme641end10.png,641,WMCC2023_ResultsBook
141,0,1,0,0,0,0,0,-2,1,0.0,2.0,-2.0,8,False,0.0,./dataset_o\ECC2019_ResultsBook_Men_A-Division\geme346end1.png,346,ECC2019_ResultsBook_Men_A-Division
142,1,0,0,0,0,0,0,-3,4,0.0,3.0,-3.0,5,False,0.0,./dataset_o\WMCC2021_ResultsBook\geme154end4.png,154,WMCC2021_ResultsBook
143,0,0,1,0,0,0,0,-1,4,0.0,1.0,-1.0,5,False,2.0,./dataset_o\ECC2023_ResultsBook_Men_A-Division\geme457end4.png,457,ECC2023_ResultsBook_Men_A-Division
144,0,0,0,0,0,1,0,2,4,2.0,0.0,2.0,5,True,2.0,./dataset_o\WWCC2023_ResultsBook\geme24end4.png,24,WWCC2023_ResultsBook
145,0,0,1,0,0,0,0,-1,8,0.0,1.0,-1.0,1,False,2.0,./dataset_o\WMCC2022_ResultsBook\geme440end8.png,440,WMCC2022_ResultsBook
146,0,0,0,0,0,0,1,3,10,4.0,0.0,4.0,0,True,-3.0,./dataset_o\WWCC2018_ResultsBook\geme613end10.png,613,WWCC2018_ResultsBook
147,0,0,0,0,1,0,0,1,4,1.0,0.0,1.0,5,False,0.0,./dataset_o\OWG2018_ResultsBook\geme737end4.png,737,OWG2018_ResultsBook
148,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,8,False,0.0,./dataset_o\WWCC2018_ResultsBook\geme791end1.png,791,WWCC2018_ResultsBook
149,0,0,0,0,1,0,0,1,5,1.0,0.0,1.0,4,False,5.0,./dataset_o\WWCC2018_ResultsBook\geme842end5.png,842,WWCC2018_ResultsBook
