,ends,red,yellow,red_diff,remain_ends,last_stone_is_red,page,filepath,INFO,T,red_postion
5,6,1.0,0.0,1.0,3,False,85,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme85end6.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
6,7,3.0,0.0,3.0,2,False,85,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme85end7.png,True,CWC2018-19_Leg1_ResultsBook,0.0
0,1,1.0,0.0,1.0,8,True,94,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme94end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,0.0,2.0,-2.0,7,False,94,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme94end2.png,True,CWC2018-19_Leg1_ResultsBook,1.0
2,3,1.0,0.0,1.0,6,True,94,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme94end3.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
3,4,0.0,1.0,-1.0,5,False,94,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme94end4.png,True,CWC2018-19_Leg1_ResultsBook,0.0
4,5,0.0,3.0,-3.0,4,True,94,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme94end5.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
5,6,0.0,2.0,-2.0,3,True,94,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme94end6.png,True,CWC2018-19_Leg1_ResultsBook,-4.0
0,1,1.0,0.0,1.0,8,True,102,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme102end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,0.0,2.0,-2.0,7,False,102,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme102end2.png,True,CWC2018-19_Leg1_ResultsBook,1.0
2,3,0.0,4.0,-4.0,6,True,102,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme102end3.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
3,4,1.0,0.0,1.0,5,True,102,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme102end4.png,True,CWC2018-19_Leg1_ResultsBook,-5.0
4,5,0.0,1.0,-1.0,4,False,102,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme102end5.png,True,CWC2018-19_Leg1_ResultsBook,-4.0
5,6,0.0,2.0,-2.0,3,True,102,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme102end6.png,True,CWC2018-19_Leg1_ResultsBook,-5.0
0,1,0.0,0.0,0.0,8,True,109,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme109end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,0.0,1.0,-1.0,7,True,109,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme109end2.png,True,CWC2018-19_Leg1_ResultsBook,0.0
2,3,0.0,1.0,-1.0,6,True,109,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme109end3.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
3,4,2.0,0.0,2.0,5,True,109,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme109end4.png,True,CWC2018-19_Leg1_ResultsBook,-2.0
4,5,0.0,1.0,-1.0,4,False,109,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme109end5.png,True,CWC2018-19_Leg1_ResultsBook,0.0
5,6,0.0,4.0,-4.0,3,True,109,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme109end6.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
6,7,3.0,0.0,3.0,2,True,109,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme109end7.png,True,CWC2018-19_Leg1_ResultsBook,-5.0
0,1,0.0,2.0,-2.0,8,True,119,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme119end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,0.0,2.0,-2.0,7,True,119,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme119end2.png,True,CWC2018-19_Leg1_ResultsBook,-2.0
2,3,1.0,0.0,1.0,6,True,119,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme119end3.png,True,CWC2018-19_Leg1_ResultsBook,-4.0
3,4,0.0,5.0,-5.0,5,False,119,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme119end4.png,True,CWC2018-19_Leg1_ResultsBook,-3.0
4,5,0.0,1.0,-1.0,4,True,119,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme119end5.png,True,CWC2018-19_Leg1_ResultsBook,-8.0
5,6,0.0,1.0,-1.0,3,True,119,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme119end6.png,True,CWC2018-19_Leg1_ResultsBook,-9.0
0,1,0.0,1.0,-1.0,8,True,126,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme126end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,0.0,1.0,-1.0,7,True,126,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme126end2.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
2,3,1.0,0.0,1.0,6,True,126,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme126end3.png,True,CWC2018-19_Leg1_ResultsBook,-2.0
3,4,0.0,2.0,-2.0,5,False,126,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme126end4.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
4,5,0.0,5.0,-5.0,4,True,126,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme126end5.png,True,CWC2018-19_Leg1_ResultsBook,-3.0
0,1,2.0,0.0,2.0,8,True,133,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme133end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,0.0,1.0,-1.0,7,False,133,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme133end2.png,True,CWC2018-19_Leg1_ResultsBook,2.0
2,3,0.0,0.0,0.0,6,True,133,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme133end3.png,True,CWC2018-19_Leg1_ResultsBook,1.0
3,4,2.0,0.0,2.0,5,True,133,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme133end4.png,True,CWC2018-19_Leg1_ResultsBook,1.0
4,5,1.0,0.0,1.0,4,False,133,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme133end5.png,True,CWC2018-19_Leg1_ResultsBook,3.0
5,6,2.0,0.0,2.0,3,False,133,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme133end6.png,True,CWC2018-19_Leg1_ResultsBook,4.0
6,7,0.0,1.0,-1.0,2,False,133,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme133end7.png,True,CWC2018-19_Leg1_ResultsBook,6.0
0,1,0.0,0.0,0.0,8,True,141,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme141end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,0.0,2.0,-2.0,7,True,141,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme141end2.png,True,CWC2018-19_Leg1_ResultsBook,0.0
2,3,1.0,0.0,1.0,6,True,141,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme141end3.png,True,CWC2018-19_Leg1_ResultsBook,-2.0
3,4,0.0,1.0,-1.0,5,False,141,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme141end4.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
4,5,2.0,0.0,2.0,4,True,141,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme141end5.png,True,CWC2018-19_Leg1_ResultsBook,-2.0
5,6,0.0,2.0,-2.0,3,False,141,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme141end6.png,True,CWC2018-19_Leg1_ResultsBook,0.0
6,7,1.0,0.0,1.0,2,True,141,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme141end7.png,True,CWC2018-19_Leg1_ResultsBook,-2.0
7,8,0.0,1.0,-1.0,1,False,141,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme141end8.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
0,1,1.0,0.0,1.0,8,True,151,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme151end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,1.0,0.0,1.0,7,False,151,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme151end2.png,True,CWC2018-19_Leg1_ResultsBook,1.0
2,3,0.0,1.0,-1.0,6,False,151,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme151end3.png,True,CWC2018-19_Leg1_ResultsBook,2.0
3,4,0.0,4.0,-4.0,5,True,151,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme151end4.png,True,CWC2018-19_Leg1_ResultsBook,1.0
4,5,0.0,1.0,-1.0,4,True,151,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme151end5.png,True,CWC2018-19_Leg1_ResultsBook,-3.0
5,6,0.0,2.0,-2.0,3,True,151,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme151end6.png,True,CWC2018-19_Leg1_ResultsBook,-4.0
6,7,1.0,0.0,1.0,2,True,151,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme151end7.png,True,CWC2018-19_Leg1_ResultsBook,-6.0
0,1,2.0,0.0,2.0,8,True,160,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme160end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,1.0,0.0,1.0,7,False,160,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme160end2.png,True,CWC2018-19_Leg1_ResultsBook,2.0
2,3,2.0,0.0,2.0,6,False,160,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme160end3.png,True,CWC2018-19_Leg1_ResultsBook,3.0
3,4,2.0,0.0,2.0,5,False,160,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme160end4.png,True,CWC2018-19_Leg1_ResultsBook,5.0
4,5,1.0,0.0,1.0,4,False,160,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme160end5.png,True,CWC2018-19_Leg1_ResultsBook,7.0
5,6,4.0,0.0,4.0,3,False,160,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme160end6.png,True,CWC2018-19_Leg1_ResultsBook,8.0
0,1,4.0,0.0,4.0,8,True,168,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme168end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,0.0,2.0,-2.0,7,False,168,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme168end2.png,True,CWC2018-19_Leg1_ResultsBook,4.0
2,3,1.0,0.0,1.0,6,True,168,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme168end3.png,True,CWC2018-19_Leg1_ResultsBook,2.0
3,4,0.0,1.0,-1.0,5,False,168,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme168end4.png,True,CWC2018-19_Leg1_ResultsBook,3.0
4,5,1.0,0.0,1.0,4,True,168,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme168end5.png,True,CWC2018-19_Leg1_ResultsBook,2.0
5,6,1.0,0.0,1.0,3,False,168,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme168end6.png,True,CWC2018-19_Leg1_ResultsBook,3.0
6,7,0.0,1.0,-1.0,2,False,168,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme168end7.png,True,CWC2018-19_Leg1_ResultsBook,4.0
0,1,1.0,0.0,1.0,8,True,178,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme178end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,2.0,0.0,2.0,7,False,178,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme178end2.png,True,CWC2018-19_Leg1_ResultsBook,1.0
2,3,0.0,1.0,-1.0,6,False,178,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme178end3.png,True,CWC2018-19_Leg1_ResultsBook,3.0
3,4,0.0,1.0,-1.0,5,True,178,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme178end4.png,True,CWC2018-19_Leg1_ResultsBook,2.0
4,5,2.0,0.0,2.0,4,True,178,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme178end5.png,True,CWC2018-19_Leg1_ResultsBook,1.0
5,6,0.0,2.0,-2.0,3,False,178,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme178end6.png,True,CWC2018-19_Leg1_ResultsBook,3.0
6,7,2.0,0.0,2.0,2,True,178,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme178end7.png,True,CWC2018-19_Leg1_ResultsBook,1.0
7,8,,,,1,False,178,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme178end8.png,True,CWC2018-19_Leg1_ResultsBook,3.0
0,1,0.0,0.0,0.0,8,True,188,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme188end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,3.0,0.0,3.0,7,True,188,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme188end2.png,True,CWC2018-19_Leg1_ResultsBook,0.0
2,3,0.0,1.0,-1.0,6,False,188,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme188end3.png,True,CWC2018-19_Leg1_ResultsBook,3.0
3,4,2.0,0.0,2.0,5,True,188,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme188end4.png,True,CWC2018-19_Leg1_ResultsBook,2.0
4,5,1.0,0.0,1.0,4,False,188,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme188end5.png,True,CWC2018-19_Leg1_ResultsBook,4.0
5,6,0.0,1.0,-1.0,3,False,188,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme188end6.png,True,CWC2018-19_Leg1_ResultsBook,5.0
6,7,0.0,1.0,-1.0,2,True,188,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme188end7.png,True,CWC2018-19_Leg1_ResultsBook,4.0
0,1,1.0,0.0,1.0,8,True,197,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme197end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,0.0,1.0,-1.0,7,False,197,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme197end2.png,True,CWC2018-19_Leg1_ResultsBook,1.0
2,3,0.0,2.0,-2.0,6,True,197,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme197end3.png,True,CWC2018-19_Leg1_ResultsBook,0.0
3,4,0.0,1.0,-1.0,5,True,197,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme197end4.png,True,CWC2018-19_Leg1_ResultsBook,-2.0
4,5,1.0,0.0,1.0,4,True,197,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme197end5.png,True,CWC2018-19_Leg1_ResultsBook,-3.0
5,6,0.0,2.0,-2.0,3,False,197,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme197end6.png,True,CWC2018-19_Leg1_ResultsBook,-2.0
6,7,2.0,0.0,2.0,2,True,197,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme197end7.png,True,CWC2018-19_Leg1_ResultsBook,-4.0
7,8,1.0,0.0,1.0,1,False,197,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme197end8.png,True,CWC2018-19_Leg1_ResultsBook,-2.0
0,1,0.0,1.0,-1.0,8,True,206,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme206end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,0.0,1.0,-1.0,7,True,206,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme206end2.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
2,3,1.0,0.0,1.0,6,True,206,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme206end3.png,True,CWC2018-19_Leg1_ResultsBook,-2.0
3,4,1.0,0.0,1.0,5,False,206,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme206end4.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
4,5,0.0,1.0,-1.0,4,False,206,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme206end5.png,True,CWC2018-19_Leg1_ResultsBook,0.0
5,6,2.0,0.0,2.0,3,True,206,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme206end6.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
6,7,0.0,2.0,-2.0,2,False,206,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme206end7.png,True,CWC2018-19_Leg1_ResultsBook,1.0
7,8,2.0,0.0,2.0,1,True,206,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme206end8.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
0,1,2.0,0.0,2.0,8,True,215,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme215end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
