,red_diff,remain_ends,last_stone_is_red,red_postion,filepath
4,-2.0,4,False,2.0,./dataset_o\WWCC2022_ResultsBook\geme224end5.png
0,3.0,8,True,0.0,./dataset_o\WWCC2023_ResultsBook\geme272end1.png
7,-1.0,1,False,-2.0,./dataset_o\WMCC2023_ResultsBook\geme512end8.png
5,-1.0,3,False,1.0,./dataset_o\WMCC2022_ResultsBook\geme837end6.png
1,-1.0,7,False,1.0,./dataset_o\WMCC2021_ResultsBook\geme393end2.png
4,-1.0,4,True,1.0,./dataset_o\WWCC2023_ResultsBook\geme598end5.png
1,1.0,7,False,3.0,./dataset_o\WMCC2022_ResultsBook\geme726end2.png
7,1.0,1,False,-2.0,./dataset_o\WWCC2022_ResultsBook\geme760end8.png
6,1.0,2,True,0.0,./dataset_o\WMCC2021_ResultsBook\geme368end7.png
7,-2.0,1,False,2.0,./dataset_o\WWCC2022_ResultsBook\geme50end8.png
0,0.0,8,True,0.0,./dataset_o\WMCC2021_ResultsBook\geme437end1.png
0,1.0,8,False,0.0,./dataset_o\WWCC2022_ResultsBook\geme187end1.png
0,-2.0,8,False,0.0,./dataset_o\WMCC2022_ResultsBook\geme783end1.png
3,-5.0,5,False,0.0,./dataset_o\WMCC2021_ResultsBook\geme809end4.png
4,1.0,4,False,3.0,./dataset_o\WMCC2022_ResultsBook\geme67end5.png
3,-1.0,5,False,3.0,./dataset_o\WWCC2023_ResultsBook\geme661end4.png
6,-2.0,2,True,2.0,./dataset_o\WWCC2022_ResultsBook\geme749end7.png
4,-4.0,4,False,2.0,./dataset_o\WMCC2021_ResultsBook\geme437end5.png
8,-3.0,0,False,-2.0,./dataset_o\WWCC2023_ResultsBook\geme116end9.png
0,0.0,8,True,0.0,./dataset_o\WWCC2022_ResultsBook\geme7end1.png
3,-2.0,5,True,-3.0,./dataset_o\WWCC2022_ResultsBook\geme771end4.png
2,0.0,6,False,0.0,./dataset_o\WMCC2021_ResultsBook\geme701end3.png
2,1.0,6,True,-3.0,./dataset_o\WMCC2023_ResultsBook\geme536end3.png
1,-1.0,7,False,0.0,./dataset_o\WWCC2022_ResultsBook\geme73end2.png
8,-1.0,0,False,-4.0,./dataset_o\WMCC2021_ResultsBook\geme325end9.png
1,0.0,7,False,2.0,./dataset_o\WWCC2023_ResultsBook\geme661end2.png
3,0.0,5,True,-2.0,./dataset_o\WWCC2023_ResultsBook\geme73end4.png
0,-1.0,8,False,0.0,./dataset_o\WMCC2022_ResultsBook\geme826end1.png
4,2.0,4,False,4.0,./dataset_o\WMCC2022_ResultsBook\geme262end5.png
2,1.0,6,True,0.0,./dataset_o\WMCC2021_ResultsBook\geme668end3.png
2,3.0,6,True,1.0,./dataset_o\WMCC2021_ResultsBook\geme574end3.png
10,1.0,0,False,0.0,./dataset_o\WWCC2023_ResultsBook\geme701end11.png
7,-2.0,1,False,0.0,./dataset_o\WMCC2021_ResultsBook\geme679end8.png
0,-2.0,8,False,0.0,./dataset_o\WMCC2022_ResultsBook\geme376end1.png
4,-1.0,4,True,-2.0,./dataset_o\WMCC2021_ResultsBook\geme304end5.png
7,-3.0,1,True,-3.0,./dataset_o\WMCC2022_ResultsBook\geme891end8.png
9,1.0,0,True,0.0,./dataset_o\WMCC2021_ResultsBook\geme426end10.png
6,-1.0,2,False,-3.0,./dataset_o\WMCC2022_ResultsBook\geme783end7.png
6,2.0,2,True,-4.0,./dataset_o\WMCC2023_ResultsBook\geme512end7.png
6,-2.0,2,False,1.0,./dataset_o\WWCC2022_ResultsBook\geme39end7.png
3,-2.0,5,True,0.0,./dataset_o\WMCC2021_ResultsBook\geme273end4.png
10,-1.0,0,False,0.0,./dataset_o\WMCC2022_ResultsBook\geme737end11.png
8,1.0,0,False,4.0,./dataset_o\WMCC2023_ResultsBook\geme695end9.png
5,3.0,3,False,2.0,./dataset_o\WMCC2021_ResultsBook\geme1005end6.png
1,-2.0,7,True,-2.0,./dataset_o\WWCC2023_ResultsBook\geme682end2.png
10,-1.0,0,True,0.0,./dataset_o\WWCC2022_ResultsBook\geme397end11.png
3,1.0,5,False,4.0,./dataset_o\WMCC2022_ResultsBook\geme221end4.png
4,0.0,4,False,1.0,./dataset_o\WMCC2021_ResultsBook\geme628end5.png
5,1.0,3,True,-4.0,./dataset_o\WMCC2023_ResultsBook\geme318end6.png
3,0.0,5,False,2.0,./dataset_o\WWCC2023_ResultsBook\geme546end4.png
2,2.0,6,True,-1.0,./dataset_o\WMCC2021_ResultsBook\geme437end3.png
2,1.0,6,True,-2.0,./dataset_o\WWCC2022_ResultsBook\geme212end3.png
2,-1.0,6,False,2.0,./dataset_o\WMCC2021_ResultsBook\geme293end3.png
7,-1.0,1,False,2.0,./dataset_o\WWCC2022_ResultsBook\geme590end8.png
1,1.0,7,False,1.0,./dataset_o\WMCC2022_ResultsBook\geme869end2.png
6,-2.0,2,False,-1.0,./dataset_o\WWCC2023_ResultsBook\geme38end7.png
1,1.0,7,True,-2.0,./dataset_o\WMCC2022_ResultsBook\geme376end2.png
5,0.0,3,False,-2.0,./dataset_o\WMCC2023_ResultsBook\geme536end6.png
4,-3.0,4,True,-4.0,./dataset_o\WWCC2022_ResultsBook\geme310end5.png
0,0.0,8,True,0.0,./dataset_o\WWCC2023_ResultsBook\geme466end1.png
0,0.0,8,True,0.0,./dataset_o\WWCC2022_ResultsBook\geme485end1.png
1,1.0,7,True,-2.0,./dataset_o\WMCC2022_ResultsBook\geme132end2.png
4,4.0,4,True,0.0,./dataset_o\WMCC2023_ResultsBook\geme198end5.png
5,-2.0,3,False,1.0,./dataset_o\WMCC2022_ResultsBook\geme181end6.png
9,-1.0,0,False,1.0,./dataset_o\WWCC2022_ResultsBook\geme778end10.png
4,1.0,4,False,1.0,./dataset_o\WMCC2023_ResultsBook\geme684end5.png
6,-3.0,2,False,1.0,./dataset_o\WMCC2021_ResultsBook\geme856end7.png
4,2.0,4,True,-4.0,./dataset_o\WMCC2023_ResultsBook\geme815end5.png
3,-1.0,5,True,-3.0,./dataset_o\WMCC2023_ResultsBook\geme835end4.png
4,-1.0,4,True,-2.0,./dataset_o\WMCC2022_ResultsBook\geme815end5.png
0,0.0,8,False,0.0,./dataset_o\WMCC2023_ResultsBook\geme717end1.png
0,1.0,8,True,0.0,./dataset_o\WWCC2022_ResultsBook\geme771end1.png
2,3.0,6,True,-1.0,./dataset_o\WMCC2021_ResultsBook\geme47end3.png
7,2.0,1,True,-4.0,./dataset_o\WMCC2022_ResultsBook\geme783end8.png
3,0.0,5,False,2.0,./dataset_o\WMCC2021_ResultsBook\geme59end4.png
0,-1.0,8,False,0.0,./dataset_o\WWCC2023_ResultsBook\geme580end1.png
7,0.0,1,False,1.0,./dataset_o\WMCC2023_ResultsBook\geme187end8.png
4,2.0,4,True,2.0,./dataset_o\WMCC2022_ResultsBook\geme491end5.png
4,2.0,4,True,-5.0,./dataset_o\WMCC2023_ResultsBook\geme629end5.png
1,2.0,7,True,-1.0,./dataset_o\WMCC2022_ResultsBook\geme737end2.png
0,3.0,8,True,0.0,./dataset_o\WMCC2022_ResultsBook\geme231end1.png
3,0.0,5,True,-2.0,./dataset_o\WWCC2023_ResultsBook\geme455end4.png
7,-1.0,1,False,1.0,./dataset_o\WMCC2022_ResultsBook\geme771end8.png
5,2.0,3,True,-3.0,./dataset_o\WWCC2022_ResultsBook\geme430end6.png
1,1.0,7,True,-1.0,./dataset_o\WWCC2022_ResultsBook\geme201end2.png
8,2.0,0,True,-2.0,./dataset_o\WWCC2022_ResultsBook\geme249end9.png
4,1.0,4,True,-2.0,./dataset_o\WMCC2022_ResultsBook\geme794end5.png
0,1.0,8,False,0.0,./dataset_o\WWCC2022_ResultsBook\geme697end1.png
6,0.0,2,False,-3.0,./dataset_o\WMCC2023_ResultsBook\geme7end7.png
0,-3.0,8,False,0.0,./dataset_o\WMCC2022_ResultsBook\geme193end1.png
7,-1.0,1,True,-5.0,./dataset_o\WMCC2021_ResultsBook\geme1016end8.png
1,-1.0,7,False,1.0,./dataset_o\WMCC2021_ResultsBook\geme787end2.png
7,3.0,1,True,4.0,./dataset_o\WMCC2023_ResultsBook\geme178end8.png
0,1.0,8,True,0.0,./dataset_o\WMCC2023_ResultsBook\geme139end1.png
2,2.0,6,True,-1.0,./dataset_o\WWCC2023_ResultsBook\geme158end3.png
2,-2.0,6,False,-1.0,./dataset_o\WMCC2021_ResultsBook\geme940end3.png
2,-1.0,6,False,3.0,./dataset_o\WWCC2023_ResultsBook\geme516end3.png
0,-1.0,8,False,0.0,./dataset_o\WWCC2022_ResultsBook\geme497end1.png
5,-1.0,3,False,3.0,./dataset_o\WWCC2023_ResultsBook\geme829end6.png
0,0.0,8,False,0.0,./dataset_o\WMCC2022_ResultsBook\geme900end1.png
0,-1.0,8,True,0.0,./dataset_o\WWCC2023_ResultsBook\geme179end1.png
6,2.0,2,False,0.0,./dataset_o\WWCC2022_ResultsBook\geme330end7.png
2,2.0,6,False,3.0,./dataset_o\WMCC2023_ResultsBook\geme271end3.png
0,2.0,8,True,0.0,./dataset_o\WMCC2021_ResultsBook\geme640end1.png
5,2.0,3,True,-3.0,./dataset_o\WMCC2021_ResultsBook\geme211end6.png
7,1.0,1,True,4.0,./dataset_o\WWCC2023_ResultsBook\geme294end8.png
9,-1.0,0,False,0.0,./dataset_o\WWCC2022_ResultsBook\geme105end10.png
2,-1.0,6,False,3.0,./dataset_o\WMCC2023_ResultsBook\geme178end3.png
4,-1.0,4,False,-3.0,./dataset_o\WMCC2023_ResultsBook\geme674end5.png
2,-3.0,6,False,1.0,./dataset_o\WMCC2022_ResultsBook\geme120end3.png
6,-1.0,2,True,1.0,./dataset_o\WMCC2021_ResultsBook\geme539end7.png
4,0.0,4,True,-2.0,./dataset_o\WMCC2022_ResultsBook\geme620end5.png
6,2.0,2,True,-1.0,./dataset_o\WMCC2021_ResultsBook\geme250end7.png
2,-2.0,6,True,-3.0,./dataset_o\WMCC2021_ResultsBook\geme1016end3.png
5,-2.0,3,False,2.0,./dataset_o\WMCC2021_ResultsBook\geme201end6.png
9,1.0,0,False,-1.0,./dataset_o\WMCC2022_ResultsBook\geme376end10.png
3,-3.0,5,False,0.0,./dataset_o\WWCC2022_ResultsBook\geme611end4.png
4,-1.0,4,True,-1.0,./dataset_o\WMCC2022_ResultsBook\geme588end5.png
2,2.0,6,True,-3.0,./dataset_o\WMCC2021_ResultsBook\geme262end3.png
6,-2.0,2,False,-6.0,./dataset_o\WMCC2021_ResultsBook\geme608end7.png
2,-3.0,6,False,-2.0,./dataset_o\WMCC2023_ResultsBook\geme396end3.png
2,2.0,6,True,-1.0,./dataset_o\WWCC2022_ResultsBook\geme319end3.png
3,2.0,5,True,0.0,./dataset_o\WMCC2022_ResultsBook\geme450end4.png
2,2.0,6,True,-3.0,./dataset_o\WWCC2022_ResultsBook\geme760end3.png
7,2.0,1,True,1.0,./dataset_o\WMCC2022_ResultsBook\geme569end8.png
6,3.0,2,False,0.0,./dataset_o\WMCC2022_ResultsBook\geme815end7.png
0,0.0,8,True,0.0,./dataset_o\WMCC2021_ResultsBook\geme1025end1.png
1,-1.0,7,False,2.0,./dataset_o\WWCC2022_ResultsBook\geme180end2.png
0,0.0,8,True,0.0,./dataset_o\WWCC2023_ResultsBook\geme620end1.png
2,1.0,6,True,-1.0,./dataset_o\WMCC2021_ResultsBook\geme490end3.png
6,-1.0,2,True,-2.0,./dataset_o\WMCC2021_ResultsBook\geme143end7.png
5,-2.0,3,False,5.0,./dataset_o\WWCC2023_ResultsBook\geme24end6.png
0,1.0,8,False,0.0,./dataset_o\WMCC2022_ResultsBook\geme221end1.png
3,2.0,5,True,-1.0,./dataset_o\WMCC2022_ResultsBook\geme313end4.png
2,-1.0,6,False,1.0,./dataset_o\WMCC2022_ResultsBook\geme683end3.png
1,-1.0,7,False,1.0,./dataset_o\WWCC2022_ResultsBook\geme697end2.png
7,1.0,1,True,1.0,./dataset_o\WMCC2021_ResultsBook\geme426end8.png
8,1.0,0,True,1.0,./dataset_o\WMCC2022_ResultsBook\geme869end9.png
7,-1.0,1,False,-1.0,./dataset_o\WWCC2022_ResultsBook\geme737end8.png
2,-1.0,6,False,2.0,./dataset_o\WMCC2023_ResultsBook\geme695end3.png
9,1.0,0,False,-2.0,./dataset_o\WMCC2021_ResultsBook\geme713end10.png
2,-1.0,6,False,4.0,./dataset_o\WMCC2021_ResultsBook\geme566end3.png
3,3.0,5,True,-2.0,./dataset_o\WMCC2023_ResultsBook\geme260end4.png
4,-1.0,4,False,2.0,./dataset_o\WMCC2021_ResultsBook\geme1025end5.png
5,1.0,3,True,-2.0,./dataset_o\WMCC2021_ResultsBook\geme262end6.png
7,0.0,1,True,-1.0,./dataset_o\WMCC2022_ResultsBook\geme620end8.png
8,0.0,0,True,-1.0,./dataset_o\WMCC2023_ResultsBook\geme793end9.png
8,-2.0,0,False,1.0,./dataset_o\WMCC2023_ResultsBook\geme98end9.png
4,3.0,4,True,5.0,./dataset_o\WMCC2023_ResultsBook\geme558end5.png
5,0.0,3,False,9.0,./dataset_o\WWCC2023_ResultsBook\geme653end6.png
1,0.0,7,False,2.0,./dataset_o\WWCC2022_ResultsBook\geme363end2.png
2,-3.0,6,False,1.0,./dataset_o\WMCC2023_ResultsBook\geme168end3.png
8,-3.0,0,False,1.0,./dataset_o\WMCC2022_ResultsBook\geme737end9.png
6,-2.0,2,False,-1.0,./dataset_o\WMCC2021_ResultsBook\geme304end7.png
0,0.0,8,False,0.0,./dataset_o\WMCC2023_ResultsBook\geme609end1.png
3,-1.0,5,True,0.0,./dataset_o\WMCC2023_ResultsBook\geme327end4.png
5,-2.0,3,False,7.0,./dataset_o\WMCC2022_ResultsBook\geme357end6.png
1,-1.0,7,False,1.0,./dataset_o\WMCC2023_ResultsBook\geme346end2.png
4,-1.0,4,False,3.0,./dataset_o\WWCC2022_ResultsBook\geme708end5.png
0,1.0,8,True,0.0,./dataset_o\WWCC2023_ResultsBook\geme535end1.png
8,1.0,0,False,-3.0,./dataset_o\WWCC2023_ResultsBook\geme455end9.png
6,1.0,2,True,-3.0,./dataset_o\WWCC2022_ResultsBook\geme600end7.png
5,-1.0,3,False,-4.0,./dataset_o\WMCC2023_ResultsBook\geme503end6.png
4,-1.0,4,False,-2.0,./dataset_o\WMCC2021_ResultsBook\geme479end5.png
2,1.0,6,False,0.0,./dataset_o\WWCC2022_ResultsBook\geme160end3.png
2,0.0,6,True,0.0,./dataset_o\WWCC2022_ResultsBook\geme150end3.png
2,-2.0,6,True,-3.0,./dataset_o\WWCC2023_ResultsBook\geme839end3.png
5,0.0,3,False,-2.0,./dataset_o\WMCC2023_ResultsBook\geme815end6.png
4,1.0,4,True,3.0,./dataset_o\WWCC2022_ResultsBook\geme657end5.png
6,-2.0,2,False,6.0,./dataset_o\WMCC2023_ResultsBook\geme178end7.png
2,-2.0,6,False,2.0,./dataset_o\WWCC2023_ResultsBook\geme875end3.png
5,1.0,3,True,-8.0,./dataset_o\WMCC2023_ResultsBook\geme764end6.png
7,-1.0,1,True,-2.0,./dataset_o\WMCC2021_ResultsBook\geme437end8.png
7,0.0,1,False,-5.0,./dataset_o\WMCC2022_ResultsBook\geme482end8.png
5,1.0,3,True,0.0,./dataset_o\WWCC2023_ResultsBook\geme807end6.png
2,0.0,6,False,2.0,./dataset_o\WWCC2023_ResultsBook\geme598end3.png
0,2.0,8,True,0.0,./dataset_o\WMCC2021_ResultsBook\geme347end1.png
0,2.0,8,True,0.0,./dataset_o\WMCC2022_ResultsBook\geme491end1.png
4,1.0,4,True,-5.0,./dataset_o\WMCC2021_ResultsBook\geme234end5.png
8,2.0,0,True,2.0,./dataset_o\WWCC2022_ResultsBook\geme116end9.png
7,-1.0,1,True,-3.0,./dataset_o\WMCC2021_ResultsBook\geme963end8.png
0,1.0,8,True,0.0,./dataset_o\WMCC2021_ResultsBook\geme448end1.png
4,1.0,4,True,1.0,./dataset_o\WMCC2023_ResultsBook\geme68end5.png
4,-3.0,4,False,-4.0,./dataset_o\WWCC2023_ResultsBook\geme769end5.png
7,4.0,1,True,0.0,./dataset_o\WMCC2021_ResultsBook\geme539end8.png
5,1.0,3,True,-7.0,./dataset_o\WWCC2023_ResultsBook\geme769end6.png
4,1.0,4,False,3.0,./dataset_o\WWCC2023_ResultsBook\geme477end5.png
1,1.0,7,False,1.0,./dataset_o\WMCC2021_ResultsBook\geme293end2.png
1,-1.0,7,True,-1.0,./dataset_o\WMCC2021_ResultsBook\geme922end2.png
6,2.0,2,True,-2.0,./dataset_o\WWCC2022_ResultsBook\geme260end7.png
9,-1.0,0,False,0.0,./dataset_o\WMCC2021_ResultsBook\geme616end10.png
8,-1.0,0,False,2.0,./dataset_o\WWCC2022_ResultsBook\geme363end9.png
9,1.0,0,False,-1.0,./dataset_o\WWCC2023_ResultsBook\geme701end10.png
5,-2.0,3,False,-2.0,./dataset_o\WWCC2022_ResultsBook\geme135end6.png
5,-1.0,3,False,4.0,./dataset_o\WWCC2023_ResultsBook\geme149end6.png
2,-1.0,6,False,2.0,./dataset_o\WMCC2022_ResultsBook\geme869end3.png
7,-2.0,1,False,-1.0,./dataset_o\WMCC2022_ResultsBook\geme110end8.png
3,1.0,5,True,0.0,./dataset_o\WMCC2022_ResultsBook\geme737end4.png
4,0.0,4,True,-3.0,./dataset_o\WMCC2023_ResultsBook\geme705end5.png
8,-1.0,0,True,3.0,./dataset_o\WMCC2023_ResultsBook\geme684end9.png
8,1.0,0,True,-1.0,./dataset_o\WWCC2023_ResultsBook\geme73end9.png
2,-1.0,6,False,1.0,./dataset_o\WWCC2023_ResultsBook\geme199end3.png
3,-1.0,5,False,-1.0,./dataset_o\WMCC2022_ResultsBook\geme271end4.png
4,1.0,4,True,0.0,./dataset_o\WMCC2023_ResultsBook\geme157end5.png
2,-2.0,6,False,-1.0,./dataset_o\WMCC2022_ResultsBook\geme376end3.png
6,-2.0,2,False,2.0,./dataset_o\WWCC2022_ResultsBook\geme7end7.png
4,-2.0,4,False,3.0,./dataset_o\WMCC2022_ResultsBook\geme642end5.png
3,-2.0,5,True,-3.0,./dataset_o\WMCC2023_ResultsBook\geme22end4.png
5,2.0,3,False,4.0,./dataset_o\WWCC2022_ResultsBook\geme388end6.png
2,-1.0,6,False,1.0,./dataset_o\WWCC2023_ResultsBook\geme642end3.png
2,1.0,6,True,-1.0,./dataset_o\WWCC2022_ResultsBook\geme475end3.png
8,-1.0,0,False,-4.0,./dataset_o\WWCC2023_ResultsBook\geme747end9.png
4,-3.0,4,False,2.0,./dataset_o\WMCC2022_ResultsBook\geme509end5.png
3,-3.0,5,False,-1.0,./dataset_o\WMCC2023_ResultsBook\geme580end4.png
6,-1.0,2,False,-2.0,./dataset_o\WMCC2022_ResultsBook\geme651end7.png
2,-1.0,6,False,1.0,./dataset_o\WMCC2022_ResultsBook\geme642end3.png
2,3.0,6,True,1.0,./dataset_o\WMCC2023_ResultsBook\geme826end3.png
7,2.0,1,True,0.0,./dataset_o\WMCC2023_ResultsBook\geme771end8.png
8,1.0,0,True,-4.0,./dataset_o\WMCC2021_ResultsBook\geme940end9.png
7,1.0,1,False,-1.0,./dataset_o\WWCC2023_ResultsBook\geme818end8.png
8,-2.0,0,False,-1.0,./dataset_o\WMCC2021_ResultsBook\geme798end9.png
1,-1.0,7,True,-3.0,./dataset_o\WMCC2023_ResultsBook\geme764end2.png
6,-2.0,2,False,3.0,./dataset_o\WWCC2022_ResultsBook\geme677end7.png
0,0.0,8,True,0.0,./dataset_o\WWCC2022_ResultsBook\geme509end1.png
4,1.0,4,False,2.0,./dataset_o\WMCC2023_ResultsBook\geme346end5.png
1,-1.0,7,False,1.0,./dataset_o\WMCC2023_ResultsBook\geme109end2.png
0,-2.0,8,False,0.0,./dataset_o\WWCC2023_ResultsBook\geme38end1.png
5,-1.0,3,False,9.0,./dataset_o\WMCC2022_ResultsBook\geme231end6.png
0,0.0,8,True,0.0,./dataset_o\WMCC2023_ResultsBook\geme385end1.png
1,0.0,7,False,1.0,./dataset_o\WWCC2023_ResultsBook\geme485end2.png
0,2.0,8,True,0.0,./dataset_o\WMCC2023_ResultsBook\geme198end1.png
4,2.0,4,False,4.0,./dataset_o\WWCC2022_ResultsBook\geme355end5.png
5,-2.0,3,False,0.0,./dataset_o\WMCC2022_ResultsBook\geme631end6.png
0,-2.0,8,False,0.0,./dataset_o\WWCC2023_ResultsBook\geme116end1.png
3,-1.0,5,False,4.0,./dataset_o\WMCC2021_ResultsBook\geme551end4.png
7,0.0,1,False,-1.0,./dataset_o\WWCC2023_ResultsBook\geme535end8.png
9,1.0,0,True,-1.0,./dataset_o\WMCC2023_ResultsBook\geme793end10.png
3,-2.0,5,False,0.0,./dataset_o\WMCC2022_ResultsBook\geme620end4.png
1,0.0,7,False,0.0,./dataset_o\WWCC2023_ResultsBook\geme303end2.png
6,-1.0,2,False,-5.0,./dataset_o\WWCC2023_ResultsBook\geme787end7.png
1,4.0,7,True,-4.0,./dataset_o\WWCC2023_ResultsBook\geme630end2.png
0,-2.0,8,False,0.0,./dataset_o\WMCC2021_ResultsBook\geme828end1.png
0,1.0,8,True,0.0,./dataset_o\WMCC2023_ResultsBook\geme346end1.png
2,0.0,6,False,-2.0,./dataset_o\WMCC2023_ResultsBook\geme318end3.png
